"TOA5","5964","CR1000","5964","CR1000.Std.32.05","CPU:cbFLX.CR1","33758","CambridgeFAST"
"TIMESTAMP","RECORD","U","V","W","Ts","DiagSAT","CO2","H2O","Tin","Tout","Press","CO22","H2O2"
"TS","RN","m/s","m/s","m/s","deg C","","mmolm-3","mmolm-3","deg C","deg C","kPa","mmolm-3","mmolm-3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-13 21:17:56.95",2314502,-2.48625,-4.80725,1.064,-0.1697693,51,17.91131,49.92213,3.815152,3.218272,97.90264,19.12722,220.4104
"2023-05-13 21:17:57",2314503,-2.482,-4.892,1.01875,-0.2868042,52,17.90943,49.89116,3.822933,3.240341,97.88972,19.11901,221.067
"2023-05-13 21:17:57.05",2314504,-2.56125,-4.03425,0.7525001,-0.09060669,53,17.90495,49.87405,3.821637,3.232552,97.87399,19.12722,221.6142
"2023-05-13 21:17:57.1",2314505,-1.56475,-5.66025,0.9877501,-0.2505493,54,17.90299,49.7119,3.822808,3.236321,97.89716,19.11901,221.067
"2023-05-13 21:17:57.15",2314506,-1.58325,-5.21275,1.42025,-0.1862488,55,17.90404,49.66662,3.816449,3.223465,97.90788,19.11901,223.6936
"2023-05-13 21:17:57.2",2314507,-2.19775,-4.62625,0.96975,-0.0642395,56,17.91316,49.63445,3.819043,3.229956,97.91032,19.14364,225.2257
"2023-05-13 21:17:57.25",2314508,-1.60575,-4.21125,1.23225,-0.1054688,57,17.90824,49.67881,3.817746,3.244235,97.90788,19.11901,224.8974
"2023-05-13 21:17:57.3",2314509,-1.38125,-5.04,0.70925,-0.2340393,58,17.91362,49.80079,3.82423,3.220869,97.91154,19.11901,224.5691
"2023-05-13 21:17:57.35",2314510,-1.87725,-4.844,0.91425,-0.2834778,59,17.91032,49.87568,3.822933,3.220869,97.89801,19.1026,224.6785
"2023-05-13 21:17:57.4",2314511,-2.71575,-4.361,0.51475,-0.1302185,60,17.90684,49.89915,3.817621,3.233725,97.89276,19.12722,225.1163
"2023-05-13 21:17:57.45",2314512,-1.80775,-4.854,0.9382501,0.04620361,61,17.9038,49.84352,3.812558,3.23385,97.89619,19.13543,224.4597
